master_row_id,experiment_id,experiment_class,source_dir,flow_uid,timestamp,source_endpoint,destination_endpoint,protocol,connection_state,label,label_id,flow_duration,orig_bytes,resp_bytes,total_bytes,orig_packets,resp_packets,total_packets,bytes_per_packet,orig_bytes_ratio,orig_packets_ratio,bytes_asymmetry_ratio,missed_bytes,is_well_known_dst_port,is_registered_dst_port,is_dynamic_dst_port,is_src_private_ip,is_dst_private_ip,proto_is_tcp,proto_is_udp,proto_is_icmp,conn_state_is_SF,conn_state_is_S0,conn_state_is_REJ,conn_state_is_RSTO,history_len,history_has_syn,history_has_reset,has_dns_context,dns_query_len,dns_query_entropy,dns_subdomain_depth,dns_max_label_len,dns_numeric_ratio,dns_vowel_ratio,dns_qtype_is_A,dns_qtype_is_TXT,dns_qtype_is_NULL,dns_is_nxdomain,dns_answer_count,dns_rtt,has_quic_context,quic_sni_len,quic_sni_entropy,quic_dcid_len,has_weird_anomaly,weird_anomaly_count_flow,weird_is_bad_syn_ack,weird_is_bad_http,weird_notice_flag,has_ssl_context,ssl_sni_len,ssl_sni_entropy,ssl_is_outdated_version,ssl_is_self_signed,ssl_has_ja3_fingerprint,ssl_resumed_flag,win_src_flow_count_60s,win_src_flow_rate_10s,win_src_unique_dst_ips_60s,win_src_unique_dst_ports_60s,win_src_failed_conn_ratio_60s,win_src_s0_syn_ratio_60s,win_src_total_orig_bytes_300s,win_src_outbound_byte_rate_60s,win_src_dns_query_count_60s,win_src_dns_nxdomain_ratio_60s,win_src_dns_unique_domains_60s,win_src_weird_count_60s,win_dst_inbound_flow_rate_10s,win_dst_unique_sources_60s,win_dst_s0_syn_ratio_10s,win_dst_avg_bytes_per_flow_60s,win_pair_flow_count_300s,win_pair_delta_t_mean,win_pair_delta_t_std,win_pair_delta_t_cv,win_pair_orig_bytes_std,win_pair_total_orig_bytes_300s
1,exp_benign_iperf_002,BENIGN,data/experiments/BENIGN/exp_benign_iperf_002,C2lmtN1RYoWe48azQc,1788287696.19571,127.0.0.1:36212,127.0.0.1:5202,tcp,SF,BENIGN,0,4.001795,25034789.0,0.0,25034789.0,579.0,248.0,827.0,30271.8126,1.0,0.6993,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.2,1.0,1.0,0.0,0.0,25035289.0,417254.8167,0.0,0.0,0.0,0.0,0.2,1.0,0.0,12517804.5,2.0,0.0004,0.0,0.0,12517144.5,25035289.0
2,exp_benign_iperf_002,BENIGN,data/experiments/BENIGN/exp_benign_iperf_002,CXNSCU1yCL0WnduEik,1788287696.195359,127.0.0.1:36202,127.0.0.1:5202,tcp,SF,BENIGN,0,4.002281,500.0,320.0,820.0,14.0,13.0,27.0,30.3704,0.609,0.5,0.2192,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,1.0,1.0,0.0,0.0,500.0,8.3333,0.0,0.0,0.0,0.0,0.1,1.0,0.0,820.0,1.0,0.0,0.0,1.0,0.0,500.0
3,exp_benign_iperf_002,BENIGN,data/experiments/BENIGN/exp_benign_iperf_002,CuNUso1lQ9KYrgJXA5,1788287700.699916,127.0.0.1:36226,127.0.0.1:5202,tcp,SF,BENIGN,0,4.001666,37.0,25034752.0,25034789.0,244.0,578.0,822.0,30455.9477,0.0,0.2965,-1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.4,1.0,1.0,0.0,0.0,25035841.0,417264.0167,0.0,0.0,0.0,0.0,0.4,1.0,0.0,12517807.5,4.0,1.5015,2.1229,1.4139,10840229.7848,25035841.0
4,exp_benign_iperf_002,BENIGN,data/experiments/BENIGN/exp_benign_iperf_002,C0asQR3CGPxPFqFwP2,1788287700.69951,127.0.0.1:36224,127.0.0.1:5202,tcp,SF,BENIGN,0,4.002326,515.0,317.0,832.0,14.0,13.0,27.0,30.8148,0.6182,0.5,0.2377,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.3,1.0,1.0,0.0,0.0,25035804.0,417263.4,0.0,0.0,0.0,0.0,0.3,1.0,0.0,8345480.3333,3.0,2.2521,2.2517,0.9998,11801273.4739,25035804.0
5,exp_benign_iperf_002,BENIGN,data/experiments/BENIGN/exp_benign_iperf_002,CRnzB1ed3iE1dqWoc,1788287708.708679,127.0.0.1:45745,127.0.0.1:5202,udp,SF,BENIGN,0,2.919058,5505028.0,4.0,5505032.0,169.0,1.0,170.0,32382.5412,1.0,0.9883,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.7,1.0,1.0,0.1111,0.0,49416142.0,823602.3667,0.0,0.0,0.0,0.0,0.7,1.0,0.0,8272445.4444,9.0,1.5642,2.0394,1.3038,7915104.6289,49416142.0
6,exp_benign_iperf_002,BENIGN,data/experiments/BENIGN/exp_benign_iperf_002,CUb2iw2xq6OsPNvsM1,1788287708.708377,127.0.0.1:48736,127.0.0.1:5202,tcp,S1,BENIGN,0,0.000544,184.0,4.0,188.0,7.0,7.0,14.0,13.4286,0.9735,0.4667,0.9524,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.6,1.0,1.0,0.125,0.0,43911114.0,731851.9,0.0,0.0,0.0,0.0,0.6,1.0,0.0,8618372.125,8.0,1.7876,2.0867,1.1673,8395234.5118,43911114.0
7,exp_benign_iperf_002,BENIGN,data/experiments/BENIGN/exp_benign_iperf_002,CPUPMG367IwDxlolY3,1788287705.20434,127.0.0.1:48732,127.0.0.1:5202,tcp,SF,BENIGN,0,3.002083,9437221.0,0.0,9437221.0,222.0,95.0,317.0,29770.4132,1.0,0.6981,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.7,1.0,1.0,0.0,0.0,43910930.0,731848.8333,0.0,0.0,0.0,0.0,0.7,1.0,0.0,9849541.2857,7.0,1.5015,2.123,1.4139,8696552.0001,43910930.0
8,exp_benign_iperf_002,BENIGN,data/experiments/BENIGN/exp_benign_iperf_002,CN1Aou3TrkZSi1oSF8,1788287705.203962,127.0.0.1:48730,127.0.0.1:5202,tcp,SF,BENIGN,0,3.002418,9437221.0,0.0,9437221.0,222.0,94.0,316.0,29864.6234,1.0,0.7003,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.6,1.0,1.0,0.0,0.0,34473709.0,574561.8167,0.0,0.0,0.0,0.0,0.6,1.0,0.0,9918261.3333,6.0,1.8017,2.2062,1.2245,9289142.7009,34473709.0
9,exp_benign_iperf_002,BENIGN,data/experiments/BENIGN/exp_benign_iperf_002,CMivU73GWMk84LMyGl,1788287705.203725,127.0.0.1:48722,127.0.0.1:5202,tcp,SF,BENIGN,0,3.00276,647.0,470.0,1117.0,14.0,13.0,27.0,41.3704,0.5787,0.5,0.1583,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.5,1.0,1.0,0.0,0.0,25036488.0,417274.8,0.0,0.0,0.0,0.0,0.5,1.0,0.0,10014469.4,5.0,2.2521,2.2517,0.9998,10013745.7021,25036488.0
10,exp_benign_multi_003,BENIGN,data/experiments/BENIGN/exp_benign_multi_003,CT57MP3s54lCQGOxa3,1788287813.857592,127.0.0.1:36752,127.0.0.1:5353,udp,SF,BENIGN,0,8.4e-05,39.0,55.0,94.0,1.0,1.0,2.0,47.0,0.4105,0.3333,-0.1684,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,21.0,3.3088,2.0,8.0,0.0,0.3684,1.0,0.0,0.0,0.0,1.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.9,1.0,2.0,0.4444,0.0,13104.0,218.4,1.0,0.0,1.0,0.0,0.9,1.0,0.0,16432.6667,9.0,0.1511,0.0002,0.0011,3776.1146,13104.0
11,exp_benign_multi_003,BENIGN,data/experiments/BENIGN/exp_benign_multi_003,CnLeEQ2HAyb1S5mcp,1788287813.937962,127.0.0.1:46477,127.0.0.1:5353,udp,SF,BENIGN,0,0.00015,36.0,52.0,88.0,1.0,1.0,2.0,44.0,0.4045,0.3333,-0.1798,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,18.0,3.6144,2.0,7.0,0.0,0.4375,1.0,0.0,0.0,0.0,1.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,2.0,0.4,0.0,13140.0,219.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,14798.2,10.0,0.1432,0.0222,0.1551,3607.5772,13140.0
12,exp_benign_multi_003,BENIGN,data/experiments/BENIGN/exp_benign_multi_003,CQ9c2q1kFX7DQRYvza,1788287814.018386,127.0.0.1:50514,127.0.0.1:5353,udp,SF,BENIGN,0,8.6e-05,36.0,52.0,88.0,1.0,1.0,2.0,44.0,0.4045,0.3333,-0.1798,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,18.0,3.3502,2.0,7.0,0.0,0.3125,1.0,0.0,0.0,0.0,1.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.1,1.0,2.0,0.3636,0.0,13176.0,219.6,3.0,0.0,3.0,0.0,1.1,1.0,0.0,13460.9091,11.0,0.1369,0.0283,0.2064,3459.2555,13176.0
13,exp_benign_multi_003,BENIGN,data/experiments/BENIGN/exp_benign_multi_003,CmZRhb1qVfpL4a1dbf,1788287814.0989,127.0.0.1:35924,127.0.0.1:5353,udp,SF,BENIGN,0,8.8e-05,39.0,55.0,94.0,1.0,1.0,2.0,47.0,0.4105,0.3333,-0.1684,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,21.0,3.5945,2.0,7.0,0.0,0.3684,1.0,0.0,0.0,0.0,1.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.2,1.0,2.0,0.3333,0.0,13215.0,220.25,4.0,0.0,4.0,0.0,1.2,1.0,0.0,12347.0,12.0,0.1318,0.0315,0.2386,3327.4351,13215.0
14,exp_benign_multi_003,BENIGN,data/experiments/BENIGN/exp_benign_multi_003,C5vYcs1SUHo4Lro44g,1788287814.179417,127.0.0.1:60919,127.0.0.1:5353,udp,SF,BENIGN,0,9.8e-05,35.0,51.0,86.0,1.0,1.0,2.0,43.0,0.4023,0.3333,-0.1839,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,17.0,3.4548,2.0,7.0,0.0,0.4,1.0,0.0,0.0,0.0,1.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.3,1.0,2.0,0.3077,0.0,13250.0,220.8333,5.0,0.0,5.0,0.0,1.3,1.0,0.0,11403.8462,13.0,0.1275,0.0333,0.261,3209.497,13250.0
