feature_index,feature_name,permutation_importance_mean,permutation_importance_std
71,win_dst_avg_bytes_per_flow_60s,0.10899280575539572,0.00992310375836959
8,orig_bytes_ratio,0.07517985611510794,0.009712230215827344
56,win_src_flow_count_60s,0.05503597122302162,0.012043646793369224
59,win_src_unique_dst_ports_60s,0.05395683453237411,0.003940450053993997
6,total_packets,0.05035971223021585,0.004550039798803395
73,win_pair_delta_t_mean,0.044604316546762626,0.003668359362296975
7,bytes_per_packet,0.03345323741007196,0.004271346074474044
76,win_pair_orig_bytes_std,0.02877697841726621,0.0062303985883772435
28,dns_query_len,0.025179856115107944,0.003940450053994017
0,flow_duration,0.019784172661870526,0.004331508841292207
9,orig_packets_ratio,0.019784172661870502,0.0046205872585126295
3,total_bytes,0.012589928057553967,0.005630386993704507
22,conn_state_is_REJ,0.009352517985611531,0.005383679693199925
10,bytes_asymmetry_ratio,0.0021582733812949505,0.0017622228365346496
1,orig_bytes,0.0021582733812949505,0.0017622228365346496
32,dns_numeric_ratio,0.0003597122302158251,0.0010791366906474753
45,weird_anomaly_count_flow,0.0,0.0
12,is_well_known_dst_port,0.0,0.0
4,orig_packets,0.0,0.0
2,resp_bytes,0.0,0.0
11,missed_bytes,0.0,0.0
5,resp_packets,0.0,0.0
21,conn_state_is_S0,0.0,0.0
20,conn_state_is_SF,0.0,0.0
24,history_len,0.0,0.0
14,is_dynamic_dst_port,0.0,0.0
18,proto_is_udp,0.0,0.0
19,proto_is_icmp,0.0,0.0
16,is_dst_private_ip,0.0,0.0
15,is_src_private_ip,0.0,0.0
29,dns_query_entropy,0.0,0.0
30,dns_subdomain_depth,0.0,0.0
31,dns_max_label_len,0.0,0.0
33,dns_vowel_ratio,0.0,0.0
34,dns_qtype_is_A,0.0,0.0
35,dns_qtype_is_TXT,0.0,0.0
36,dns_qtype_is_NULL,0.0,0.0
37,dns_is_nxdomain,0.0,0.0
38,dns_answer_count,0.0,0.0
39,dns_rtt,0.0,0.0
40,has_quic_context,0.0,0.0
23,conn_state_is_RSTO,0.0,0.0
25,history_has_syn,0.0,0.0
26,history_has_reset,0.0,0.0
27,has_dns_context,0.0,0.0
17,proto_is_tcp,0.0,0.0
61,win_src_s0_syn_ratio_60s,0.0,0.0
44,has_weird_anomaly,0.0,0.0
43,quic_dcid_len,0.0,0.0
42,quic_sni_entropy,0.0,0.0
41,quic_sni_len,0.0,0.0
50,ssl_sni_len,0.0,0.0
46,weird_is_bad_syn_ack,0.0,0.0
47,weird_is_bad_http,0.0,0.0
53,ssl_is_self_signed,0.0,0.0
52,ssl_is_outdated_version,0.0,0.0
55,ssl_resumed_flag,0.0,0.0
54,ssl_has_ja3_fingerprint,0.0,0.0
57,win_src_flow_rate_10s,0.0,0.0
51,ssl_sni_entropy,0.0,0.0
48,weird_notice_flag,0.0,0.0
49,has_ssl_context,0.0,0.0
69,win_dst_unique_sources_60s,0.0,0.0
60,win_src_failed_conn_ratio_60s,0.0,0.0
58,win_src_unique_dst_ips_60s,0.0,0.0
62,win_src_total_orig_bytes_300s,0.0,0.0
66,win_src_dns_unique_domains_60s,0.0,0.0
63,win_src_outbound_byte_rate_60s,0.0,0.0
64,win_src_dns_query_count_60s,0.0,0.0
65,win_src_dns_nxdomain_ratio_60s,0.0,0.0
72,win_pair_flow_count_300s,0.0,0.0
68,win_dst_inbound_flow_rate_10s,0.0,0.0
67,win_src_weird_count_60s,0.0,0.0
70,win_dst_s0_syn_ratio_10s,0.0,0.0
75,win_pair_delta_t_cv,0.0,0.0
74,win_pair_delta_t_std,0.0,0.0
77,win_pair_total_orig_bytes_300s,0.0,0.0
13,is_registered_dst_port,-0.0003597122302158251,0.0010791366906474753
