feature_index,feature_name,mean_importance_across_seeds,std_importance_across_seeds,min_importance,max_importance
71,win_dst_avg_bytes_per_flow_60s,0.10935,0.00529,0.10072,0.11439
8,orig_bytes_ratio,0.0741,0.00228,0.0705,0.07698
59,win_src_unique_dst_ports_60s,0.05626,0.00173,0.05468,0.05899
56,win_src_flow_count_60s,0.05338,0.00558,0.04604,0.06331
6,total_packets,0.05079,0.00185,0.0482,0.05324
73,win_pair_delta_t_mean,0.04331,0.00293,0.03885,0.04748
7,bytes_per_packet,0.03381,0.00381,0.03022,0.04029
76,win_pair_orig_bytes_std,0.03022,0.00182,0.02806,0.03237
28,dns_query_len,0.02619,0.00125,0.02518,0.02806
9,orig_packets_ratio,0.01842,0.00283,0.01583,0.02374
0,flow_duration,0.01755,0.00216,0.01367,0.02014
3,total_bytes,0.01122,0.00148,0.00863,0.01295
22,conn_state_is_REJ,0.00964,0.00185,0.00647,0.01151
10,bytes_asymmetry_ratio,0.00216,0.00064,0.00144,0.00288
1,orig_bytes,0.00187,0.00073,0.00072,0.00288
32,dns_numeric_ratio,0.00129,0.00106,0.0,0.00288
62,win_src_total_orig_bytes_300s,0.00014,0.00029,0.0,0.00072
12,is_well_known_dst_port,0.0,0.0,0.0,0.0
4,orig_packets,0.0,0.0,0.0,0.0
2,resp_bytes,0.0,0.0,0.0,0.0
11,missed_bytes,0.0,0.0,0.0,0.0
5,resp_packets,0.0,0.0,0.0,0.0
45,weird_anomaly_count_flow,0.0,0.0,0.0,0.0
20,conn_state_is_SF,0.0,0.0,0.0,0.0
21,conn_state_is_S0,0.0,0.0,0.0,0.0
14,is_dynamic_dst_port,0.0,0.0,0.0,0.0
18,proto_is_udp,0.0,0.0,0.0,0.0
19,proto_is_icmp,0.0,0.0,0.0,0.0
16,is_dst_private_ip,0.0,0.0,0.0,0.0
15,is_src_private_ip,0.0,0.0,0.0,0.0
29,dns_query_entropy,0.0,0.0,0.0,0.0
30,dns_subdomain_depth,0.0,0.0,0.0,0.0
31,dns_max_label_len,0.0,0.0,0.0,0.0
33,dns_vowel_ratio,0.0,0.0,0.0,0.0
34,dns_qtype_is_A,0.0,0.0,0.0,0.0
35,dns_qtype_is_TXT,0.0,0.0,0.0,0.0
36,dns_qtype_is_NULL,0.0,0.0,0.0,0.0
37,dns_is_nxdomain,0.0,0.0,0.0,0.0
38,dns_answer_count,0.0,0.0,0.0,0.0
39,dns_rtt,0.0,0.0,0.0,0.0
24,history_len,0.0,0.0,0.0,0.0
23,conn_state_is_RSTO,0.0,0.0,0.0,0.0
25,history_has_syn,0.0,0.0,0.0,0.0
26,history_has_reset,0.0,0.0,0.0,0.0
27,has_dns_context,0.0,0.0,0.0,0.0
17,proto_is_tcp,0.0,0.0,0.0,0.0
61,win_src_s0_syn_ratio_60s,0.0,0.0,0.0,0.0
44,has_weird_anomaly,0.0,0.0,0.0,0.0
43,quic_dcid_len,0.0,0.0,0.0,0.0
42,quic_sni_entropy,0.0,0.0,0.0,0.0
41,quic_sni_len,0.0,0.0,0.0,0.0
40,has_quic_context,0.0,0.0,0.0,0.0
46,weird_is_bad_syn_ack,0.0,0.0,0.0,0.0
47,weird_is_bad_http,0.0,0.0,0.0,0.0
53,ssl_is_self_signed,0.0,0.0,0.0,0.0
52,ssl_is_outdated_version,0.0,0.0,0.0,0.0
55,ssl_resumed_flag,0.0,0.0,0.0,0.0
54,ssl_has_ja3_fingerprint,0.0,0.0,0.0,0.0
50,ssl_sni_len,0.0,0.0,0.0,0.0
51,ssl_sni_entropy,0.0,0.0,0.0,0.0
48,weird_notice_flag,0.0,0.0,0.0,0.0
49,has_ssl_context,0.0,0.0,0.0,0.0
69,win_dst_unique_sources_60s,0.0,0.0,0.0,0.0
60,win_src_failed_conn_ratio_60s,0.0,0.0,0.0,0.0
58,win_src_unique_dst_ips_60s,0.0,0.0,0.0,0.0
57,win_src_flow_rate_10s,0.0,0.0,0.0,0.0
66,win_src_dns_unique_domains_60s,0.0,0.0,0.0,0.0
63,win_src_outbound_byte_rate_60s,0.0,0.0,0.0,0.0
64,win_src_dns_query_count_60s,0.0,0.0,0.0,0.0
65,win_src_dns_nxdomain_ratio_60s,0.0,0.0,0.0,0.0
72,win_pair_flow_count_300s,0.0,0.0,0.0,0.0
68,win_dst_inbound_flow_rate_10s,0.0,0.0,0.0,0.0
67,win_src_weird_count_60s,0.0,0.0,0.0,0.0
70,win_dst_s0_syn_ratio_10s,0.0,0.0,0.0,0.0
75,win_pair_delta_t_cv,0.0,0.0,0.0,0.0
74,win_pair_delta_t_std,0.0,0.0,0.0,0.0
77,win_pair_total_orig_bytes_300s,0.0,0.0,0.0,0.0
13,is_registered_dst_port,-0.00029,0.00035,-0.00072,0.0
