master_row_id,experiment_id,label,predicted_label,confidence,dns_query_len,dns_query_entropy,dns_subdomain_depth,dns_numeric_ratio,win_src_dns_query_count_60s
590,exp_dns_tunnel_001,DNS_TUNNEL,DNS_TUNNEL,0.702215526737766,49.0,4.4998,5.0,0.25,35.0
591,exp_dns_tunnel_001,DNS_TUNNEL,DNS_TUNNEL,0.5611980975147187,49.0,4.3753,5.0,0.2727,36.0
592,exp_dns_tunnel_001,DNS_TUNNEL,DNS_TUNNEL,0.5499454234314088,49.0,4.4644,5.0,0.25,37.0
593,exp_dns_tunnel_001,DNS_TUNNEL,DNS_TUNNEL,0.5469232607657823,49.0,4.3874,5.0,0.2045,38.0
594,exp_dns_tunnel_001,DNS_TUNNEL,DNS_TUNNEL,0.5481590273722542,49.0,4.4824,5.0,0.3182,39.0
595,exp_dns_tunnel_001,DNS_TUNNEL,DNS_TUNNEL,0.5469250573428104,49.0,4.4028,5.0,0.25,40.0
596,exp_dns_tunnel_001,DNS_TUNNEL,DNS_TUNNEL,0.564486654816354,49.0,4.4162,5.0,0.3409,41.0
597,exp_dns_tunnel_001,DNS_TUNNEL,DNS_TUNNEL,0.5619288071274876,49.0,4.1833,5.0,0.2045,42.0
598,exp_dns_tunnel_001,DNS_TUNNEL,BENIGN,0.6086237635858844,17.0,3.4104,2.0,0.0,43.0
599,exp_dns_tunnel_001,DNS_TUNNEL,BENIGN,0.5274439176000504,25.0,3.5329,3.0,0.0455,44.0
600,exp_dns_tunnel_001,DNS_TUNNEL,BENIGN,0.527825507546368,32.0,3.7539,3.0,0.069,45.0
601,exp_dns_tunnel_001,DNS_TUNNEL,BENIGN,0.5616998879302015,21.0,3.3914,3.0,0.0,46.0
602,exp_dns_tunnel_001,DNS_TUNNEL,BENIGN,0.5618682139532787,17.0,3.4104,2.0,0.0,47.0
603,exp_dns_tunnel_001,DNS_TUNNEL,BENIGN,0.5485697584947047,25.0,3.5329,3.0,0.0455,48.0
604,exp_dns_tunnel_001,DNS_TUNNEL,BENIGN,0.5780985316774264,19.0,3.2211,2.0,0.0,49.0
605,exp_dns_tunnel_001,DNS_TUNNEL,BENIGN,0.5799802566757194,18.0,3.4613,2.0,0.0,50.0
