master_row_id,experiment_id,label,predicted_label,confidence,protocol,destination_endpoint,win_src_unique_dst_ports_60s,win_src_flow_count_60s,total_packets,bytes_per_packet
369,exp_ddos_udp_002,DDOS,RECON,0.6921138834321973,udp,127.0.0.1:9999,1.0,1.0,1.0,0.0
480,exp_recon_001,RECON,RECON,0.6400197520663458,tcp,127.0.0.1:62000,36.0,36.0,2.0,0.0
481,exp_recon_001,RECON,RECON,0.5976840713476691,tcp,127.0.0.1:1521,37.0,37.0,2.0,0.0
482,exp_recon_001,RECON,RECON,0.6400197520652925,tcp,127.0.0.1:55000,38.0,38.0,2.0,0.0
483,exp_recon_001,RECON,RECON,0.5978259838928797,tcp,127.0.0.1:9090,39.0,39.0,2.0,0.0
484,exp_recon_001,RECON,RECON,0.6400189977559955,tcp,127.0.0.1:50000,40.0,40.0,2.0,0.0
485,exp_recon_001,RECON,RECON,0.6400189977589783,tcp,127.0.0.1:58000,41.0,41.0,2.0,0.0
486,exp_recon_001,RECON,RECON,0.5976834180063894,tcp,127.0.0.1:27017,42.0,42.0,2.0,0.0
487,exp_recon_001,RECON,RECON,0.6400189977589783,tcp,127.0.0.1:60000,43.0,43.0,2.0,0.0
488,exp_recon_001,RECON,DDOS,0.5009267454014307,tcp,127.0.0.1:6379,44.0,44.0,2.0,0.0
489,exp_recon_001,RECON,DDOS,0.5007423883337393,tcp,127.0.0.1:5000,45.0,45.0,2.0,0.0
491,exp_recon_001,RECON,DDOS,0.5488381093389488,tcp,127.0.0.1:8080,45.0,46.0,4.0,0.0
490,exp_recon_001,RECON,DDOS,0.7643051527999131,tcp,127.0.0.1:9000,45.0,47.0,2.0,0.0
502,exp_recon_001,RECON,SLOW_HTTP,0.4107819376887402,tcp,127.0.0.1:8080,45.0,48.0,12.0,20.4167
501,exp_recon_001,RECON,BENIGN,0.4080871069014784,tcp,127.0.0.1:8080,45.0,49.0,12.0,108.0
500,exp_recon_001,RECON,BENIGN,0.3483663526337382,tcp,127.0.0.1:8080,45.0,50.0,12.0,20.4167
503,exp_recon_001,RECON,BENIGN,0.4718985990648861,tcp,127.0.0.1:8080,45.0,51.0,12.0,33.5833
499,exp_recon_001,RECON,BENIGN,0.48928448637979943,tcp,127.0.0.1:8080,45.0,52.0,12.0,33.5833
498,exp_recon_001,RECON,DDOS,0.32610108987409975,tcp,127.0.0.1:8080,45.0,53.0,3.0,0.0
